player_name,name,position
Aaron Rowe,Aaron Rowe,MID
Mason Greenwood,Mason Greenwood,FWD
Sam Woods,Sam Woods,DEF
George Marsh,George Marsh,MID
Harvey Elliott,Harvey Elliott,MID
Nathan Holland,Nathan Holland,MID
Nnamdi Ofoborh,Nnamdi Ofoborh,MID
Vincent Janssen,Vincent Janssen,FWD
Anthony Driscoll-Glennon,Anthony Driscoll-Glennon,DEF
Mark Travers,Mark Travers,GKP
Addji Keaninkin Marc-Israel Guehi,Addji Keaninkin Marc-Israel Guehi,DEF
Jayson Molumby,Jayson Molumby,MID
Kelland Watts,Kelland Watts,DEF
Lewis Cass,Lewis Cass,DEF
Luca De La Torre,Luca De La Torre,MID
Luke Dreher,Luke Dreher,MID
Matt Butcher,Matt Butcher,MID
Nikola Tavares,Nikola Tavares,DEF
Aaron Ramsdale,Aaron Ramsdale,GKP
Adam Webster,Adam Webster,DEF
Ahmed El Mohamady,Ahmed El Mohamady,DEF
Albian Ajeti,Albian Ajeti,FWD
Alexander Tettey,Alexander Tettey,MID
Allan Saint-Maximin,Allan Saint-Maximin,MID
Andre Green,Andre Green,MID
Andy King,Andy King,MID
Anwar El Ghazi,Anwar El Ghazi,MID
Arnaut Danjuma Groeneveld,Arnaut Danjuma Groeneveld,MID
Axel Tuanzebe,Axel Tuanzebe,DEF
Bailey Peacock-Farrell,Bailey Peacock-Farrell,GKP
Ben Godfrey,Ben Godfrey,DEF
Ben Osborn,Ben Osborn,MID
Billy Sharp,Billy Sharp,FWD
Birkir Bjarnason,Birkir Bjarnason,MID
Bjorn Engels,Bjorn Engels,DEF
Callum Robinson,Callum Robinson,FWD
Che Adams,Che Adams,FWD
Christian Pulisic,Christian Pulisic,MID
Christoph Zimmermann,Christoph Zimmermann,DEF
Chris Basham,Chris Basham,DEF
Conor Hourihane,Conor Hourihane,MID
Craig Dawson,Craig Dawson,DEF
Daniel Ceballos Fern√°ndez,Daniel Ceballos Fernández,MID
Daniel James,Daniel James,MID
David de Gea,David de Gea,GKP
David McGoldrick,David McGoldrick,FWD
Dean Henderson,Dean Henderson,GKP
Dennis Praet,Dennis Praet,MID
Dennis Srbeny,Dennis Srbeny,FWD
Djibril Sidib√©,Djibril Sidibé,DEF
Douglas Luiz Soares de Paulo,Douglas Luiz Soares de Paulo,MID
Emiliano Buend√≠a,Emiliano Buendía,MID
Emil Krafth,Emil Krafth,DEF
Enda Stevens,Enda Stevens,DEF
Erik Pieters,Erik Pieters,DEF
Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,DEF
Fikayo Tomori,Fikayo Tomori,DEF
Fr√©d√©ric Guilbert,Frédéric Guilbert,DEF
Gabriel Teodoro Martinelli Silva,Gabriel Teodoro Martinelli Silva,FWD
George Baldock,George Baldock,DEF
Giovani Lo Celso,Giovani Lo Celso,MID
Grant Hanley,Grant Hanley,DEF
Harry Wilson,Harry Wilson,MID
Henri Lansbury,Henri Lansbury,MID
Heurelho da Silva Gomes,Heurelho da Silva Gomes,GKP
Ibrahim Amadou,Ibrahim Amadou,MID
Isma√Øla Sarr,Ismaïla Sarr,MID
Jack Colback,Jack Colback,MID
Jack Grealish,Jack Grealish,MID
Jack O'Connell,Jack O'Connell,DEF
Jack Stacey,Jack Stacey,DEF
Jake Eastwood,Jake Eastwood,GKP
Jamal Lewis,Jamal Lewis,DEF
James Chester,James Chester,DEF
James Justin,James Justin,DEF
Jay Rodriguez,Jay Rodriguez,FWD
Jean-Philippe Gbamin,Jean-Philippe Gbamin,MID
Jed Steer,Jed Steer,GKP
Jes√∫s Vallejo L√°zaro,Jesús Vallejo Lázaro,DEF
Jetro Willems,Jetro Willems,DEF
Joelinton C√°ssio Apolin√°rio de Lira,Joelinton Cássio Apolinário de Lira,FWD
John Egan,John Egan,DEF
John Fleck,John Fleck,MID
John Lundstram,John Lundstram,MID
John McGinn,John McGinn,MID
Jonathan Kodjia,Jonathan Kodjia,FWD
Josip Drmic,Josip Drmic,FWD
Jos√© Ignacio Peleteiro Romallo,José Ignacio Peleteiro Romallo,MID
Jos√© √Ångel Esmor√≠s Tasende,José Ángel Esmorís Tasende,DEF
Jo√£o Pedro Cavaco Cancelo,João Pedro Cavaco Cancelo,DEF
Keinan Davis,Keinan Davis,FWD
Kenny McLean,Kenny McLean,MID
Kieran Tierney,Kieran Tierney,DEF
Kieron Freeman,Kieron Freeman,DEF
Leandro Trossard,Leandro Trossard,MID
Lewis Gibson,Lewis Gibson,DEF
Lloyd Kelly,Lloyd Kelly,DEF
Lovre Kalinic,Lovre Kalinic,GKP
Luke Freeman,Luke Freeman,MID
Mahmoud Ahmed Ibrahim Hassan,Mahmoud Ahmed Ibrahim Hassan,FWD
Marco Stiepermann,Marco Stiepermann,MID
Mario Vrancic,Mario Vrancic,MID
Mark Duffy,Mark Duffy,MID
Marvelous Nakamba,Marvelous Nakamba,MID
Mason Mount,Mason Mount,MID
Matthew Clarke,Matthew Clarke,DEF
Maximillian Aarons,Maximillian Aarons,DEF
Michael McGovern,Michael McGovern,GKP
Michael Verrips,Michael Verrips,GKP
Moise Kean,Moise Kean,FWD
Moritz Leitner,Moritz Leitner,MID
Moussa Djenepo,Moussa Djenepo,MID
Muhamed Be≈°iƒá,Muhamed Be_i_,MID
Neal Maupay,Neal Maupay,FWD
Neil Taylor,Neil Taylor,DEF
Nicolas P√©p√©,Nicolas Pépé,MID
Oliver McBurnie,Oliver McBurnie,FWD
Oliver Norwood,Oliver Norwood,MID
Onel Hern√°ndez,Onel Hernández,MID
Pablo Fornals,Pablo Fornals,MID
Patrick Cutrone,Patrick Cutrone,FWD
Patrick Roberts,Patrick Roberts,MID
Pedro Lomba Neto,Pedro Lomba Neto,MID
Philip Heise,Philip Heise,DEF
Ralf Fahrmann,Ralf Fahrmann,GKP
Ravel Morrison,Ravel Morrison,MID
Reece James,Reece James,DEF
Rhian Brewster,Rhian Brewster,FWD
Richard Stearman,Richard Stearman,DEF
Roberto Jimenez Gago,Roberto Jimenez Gago,GKP
Rodrigo Hernandez,Rodrigo Hernandez,MID
Rolando Aarons,Rolando Aarons,MID
Simon Moore,Simon Moore,GKP
S√©bastien Haller,Sébastien Haller,FWD
Tanguy Ndombele,Tanguy Ndombele,MID
Teemu Pukki,Teemu Pukki,FWD
Timm Klose,Timm Klose,DEF
Tim Krul,Tim Krul,GKP
Todd Cantwell,Todd Cantwell,MID
Tom Trybull,Tom Trybull,MID
Troy Parrott,Troy Parrott,FWD
Wesley Moraes,Wesley Moraes,FWD
√òrjan Nyland,Ørjan Nyland,GKP
Andy Lonergan,Andy Lonergan,GKP
Caoimhin Kelleher,Caoimhin Kelleher,GKP
Kevin Danso,Kevin Danso,DEF
Aaron Connolly,Aaron Connolly,FWD
Billy Gilmour,Billy Gilmour,MID
Daniel N'Lundulu,Daniel N'Lundulu,FWD
Adam Idah,Adam Idah,FWD
Dimitri Foulquier,Dimitri Foulquier,DEF
Matthew Longstaff,Matthew Longstaff,MID
Steven Alzate,Steven Alzate,MID
Tudor Baluta,Tudor Baluta,DEF
Eric Garcia,Eric Garcia,DEF
Brandon Williams,Brandon Williams,DEF
Harry Lewis,Harry Lewis,GKP
Leon Clarke,Leon Clarke,FWD
Akin Famewo,Akin Famewo,DEF
Archie Mair,Archie Mair,GKP
David Martin,David Martin,GKP
Brandon Austin,Brandon Austin,GKP
Stephen Henderson,Stephen Henderson,GKP
Bernard Ashley-Seal,Bernard Ashley-Seal,FWD
Taylor Perry,Taylor Perry,MID
Anthony Gordon,Anthony Gordon,MID
Scott Carson,Scott Carson,GKP
Ayotomiwa Dele-Bashiru,Ayotomiwa Dele-Bashiru,MID
Christian Saydee,Christian Saydee,FWD
Gavin Kilkenny,Gavin Kilkenny,MID
Luke Cundle,Luke Cundle,MID
Owen Otasowie,Owen Otasowie,MID
Mace Goodridge,Mace Goodridge,MID
Mihai-Alexandru Dobre,Mihai-Alexandru Dobre,FWD
Tyrick Mitchell,Tyrick Mitchell,DEF
Rhu-endly Martina,Rhu-endly Martina,DEF
Neco Williams,Neco Williams,DEF
Emile Smith Rowe,Emile Smith Rowe,MID
Brandon Pierrick,Brandon Pierrick,FWD
James Daly,James Daly,FWD
Japhet Tanganga,Japhet Tanganga,DEF
Joseph Anang,Joseph Anang,GKP
Tyreece John-Jules,Tyreece John-Jules,FWD
Tariq Lamptey,Tariq Lamptey,DEF
Oskar Buur,Oskar Buur,DEF
William Smallbone,William Smallbone,MID
Nathaniel Phillips,Nathaniel Phillips,DEF
Nya Kirby,Nya Kirby,MID
Bernardo Costa Da Rosa,Bernardo Costa Da Rosa,DEF
Jo√£o Pedro Junqueira de Jesus,João Pedro Junqueira de Jesus,FWD
Jeremy Ngakia,Jeremy Ngakia,DEF
Gon√ßalo Bento Soares Cardoso,Gonçalo Bento Soares Cardoso,DEF
Thomas Allan,Thomas Allan,FWD
Jack Rodwell,Jack Rodwell,MID
Takumi Minamino,Takumi Minamino,MID
Indiana Vassilev,Indiana Vassilev,FWD
Giovanni McGregor,Giovanni McGregor,MID
Ryan Giles,Ryan Giles,MID
Gedson Carvalho Fernandes,Gedson Carvalho Fernandes,MID
Lukas Rupp,Lukas Rupp,MID
Bruno Andr√© Cavaco Jordao,Bruno André Cavaco Jordao,MID
Jos√© Reina,José Reina,GKP
Darren Randolph,Darren Randolph,GKP
Ignacio Pussetto,Ignacio Pussetto,MID
Ondrej Duda,Ondrej Duda,MID
Liam Gibson,Liam Gibson,DEF
Bruno Miguel Borges Fernandes,Bruno Miguel Borges Fernandes,MID
Daniel Castelo Podence,Daniel Castelo Podence,MID
Jack Robinson,Jack Robinson,DEF
Josh Brownhill,Josh Brownhill,MID
Mbwana Samatta,Mbwana Samatta,FWD
Nabil Bentaleb,Nabil Bentaleb,MID
Pablo Mar√≠,Pablo Marí,DEF
Richairo Zivkovic,Richairo Zivkovic,FWD
Sander Berge,Sander Berge,MID
Steven Bergwijn,Steven Bergwijn,MID
Tomas Soucek,Tomas Soucek,MID
Valentino Lazaro,Valentino Lazaro,MID
Odion Ighalo,Odion Ighalo,FWD
Borja Gonz√°lez Tom√°s,Borja González Tomás,FWD
Panagiotis Retsos,Panagiotis Retsos,DEF
Jarrod Bowen,Jarrod Bowen,MID
Alexis Mac Allister,Alexis Mac Allister,MID
Jo√£o Manuel Neves Virg√≠nia,João Manuel Neves Virgínia,GKP
Ki-Jana Hoever,Ki-Jana Hoever,DEF
Armando Broja,Armando Broja,FWD
Faustino Anjorin,Faustino Anjorin,MID
Bobby Thomas,Bobby Thomas,DEF
Harvey White,Harvey White,MID
Jarrad Branthwaite,Jarrad Branthwaite,DEF
Jimmy Dunne,Jimmy Dunne,DEF
Josh Martin,Josh Martin,MID
Lukas Jensen,Lukas Jensen,GKP
Max Thompson,Max Thompson,FWD
Nathan Tella,Nathan Tella,MID
Cole Palmer,Cole Palmer,MID
Jake Vokins,Jake Vokins,DEF
Matthew Smith,Matthew Smith,MID
Matt Macey,Matt Macey,GKP
Taylor Harwood-Bellis,Taylor Harwood-Bellis,DEF
Tommy Doyle,Tommy Doyle,MID
Alexandre Jankewitz,Alexandre Jankewitz,MID
Alfie Lewis,Alfie Lewis,MID
Jordan Thomas,Jordan Thomas,DEF
Dennis Cirkin,Dennis Cirkin,DEF
Leonardo Campana,Leonardo Campana,FWD
Will Ferry,Will Ferry,MID
Jack Young,Jack Young,MID
Lewis Bate,Lewis Bate,MID
Darnell Johnson,Darnell Johnson,DEF
George Hirst,George Hirst,FWD
Jacob Maddox,Jacob Maddox,MID
Kaine Hayden,Kaine Hayden,DEF
Luke Thomas,Luke Thomas,DEF
Alex Cochrane,Alex Cochrane,DEF
Ellis Simms,Ellis Simms,FWD
Joel Mumbongo,Joel Mumbongo,FWD
John-Kymani Gordon,John-Kymani Gordon,FWD
Daniel Adshead,Daniel Adshead,MID
