player_name,name,position
David Luiz Moreira Marinho,David Luiz Moreira Marinho,DEF
David Silva,David Silva,MID
Davinson S√°nchez,Davinson Sánchez,DEF
Davy Klaassen,Davy Klaassen,MID
Davy Pr√∂pper,Davy Pröpper,MID
DeAndre Yedlin,DeAndre Yedlin,DEF
Declan Rice,Declan Rice,MID
Dejan Lovren,Dejan Lovren,DEF
Demarai Gray,Demarai Gray,MID
Denis Odoi,Denis Odoi,DEF
Diego Rico,Diego Rico,DEF
Diogo Jota,Diogo Jota,FWD
Domingos Quina,Domingos Quina,MID
Dominic Calvert-Lewin,Dominic Calvert-Lewin,FWD
Dominic Solanke,Dominic Solanke,FWD
Dwight Gayle,Dwight Gayle,FWD
Eden Hazard,Eden Hazard,MID
Ederson Santana de Moraes,Ederson Santana de Moraes,GKP
Edimilson Fernandes,Edimilson Fernandes,MID
Eldin Jakupovic,Eldin Jakupovic,GKP
Elias Kachunga,Elias Kachunga,FWD
Emerson Hyndman,Emerson Hyndman,MID
Emerson Palmieri dos Santos,Emerson Palmieri dos Santos,DEF
Eric Bailly,Eric Bailly,DEF
Eric Dier,Eric Dier,DEF
Erik Durm,Erik Durm,DEF
Erik Lamela,Erik Lamela,MID
Ethan Ampadu,Ethan Ampadu,DEF
Etienne Capoue,Etienne Capoue,MID
Ezequiel Schelotto,Ezequiel Schelotto,DEF
Fabian Delph,Fabian Delph,MID
Fabian Sch√§r,Fabian Schär,DEF
Fabio Henrique Tavares,Fabio Henrique Tavares,MID
Fabi√°n Balbuena,Fabián Balbuena,DEF
Fabricio Agosto Ram√≠rez,Fabricio Agosto Ramírez,GKP
Federico Fern√°ndez,Federico Fernández,DEF
Felipe Anderson Pereira Gomes,Felipe Anderson Pereira Gomes,MID
Fernando Llorente,Fernando Llorente,FWD
Fernando Luiz Rosa,Fernando Luiz Rosa,MID
Filip Benkovic,Filip Benkovic,DEF
Florent Hadergjonaj,Florent Hadergjonaj,DEF
Florian Lejeune,Florian Lejeune,DEF
Florin Andone,Florin Andone,FWD
Floyd Ayit√©,Floyd Ayité,FWD
Fousseni Diabat√©,Fousseni Diabaté,MID
Francisco Femen√≠a Far,Francisco Femenía Far,DEF
Fraser Forster,Fraser Forster,GKP
Frederico Rodrigues de Paula Santos,Frederico Rodrigues de Paula Santos,MID
Gabriel Fernando de Jesus,Gabriel Fernando de Jesus,FWD
Gary Cahill,Gary Cahill,DEF
Gary Madine,Gary Madine,FWD
Ga√´tan Bong,Gaëtan Bong,DEF
Georges-K√©vin Nkoudou,Georges-Kévin Nkoudou,MID
Georginio Wijnaldum,Georginio Wijnaldum,MID
Gerard Deulofeu,Gerard Deulofeu,MID
Glenn Murray,Glenn Murray,FWD
Granit Xhaka,Granit Xhaka,MID
Greg Cunninghamm,Greg Cunningham,DEF
Greg Halford,Greg Halford,DEF
Guido Carrillo,Guido Carrillo,FWD
Gylfi Sigurdsson,Gylfi Sigurdsson,MID
Hamza Choudhury,Hamza Choudhury,MID
Harry Arter,Harry Arter,MID
Harry Kane,Harry Kane,FWD
Harry Maguire,Harry Maguire,DEF
Harry Winks,Harry Winks,MID
Henrikh Mkhitaryan,Henrikh Mkhitaryan,MID
Heung-Min Son,Heung-Min Son,FWD
Heurelho Gomes,Heurelho Gomes,GKP
Hugo Lloris,Hugo Lloris,GKP
H√©ctor Beller√≠n,Héctor Bellerín,DEF
H√©lder Costa,Hélder Costa,MID
Ibrahima Ciss√©,Ibrahima Cissé,MID
Idrissa Gueye,Idrissa Gueye,MID
Ilkay G√ºndogan,Ilkay Gündogan,MID
Isaac Hayden,Isaac Hayden,MID
Isaac Mbenza,Isaac Mbenza,FWD
Isaac Success Ajayi,Isaac Success Ajayi,FWD
Issa Diop,Issa Diop,DEF
Ivan Cavaleiro,Ivan Cavaleiro,FWD
Jack Cork,Jack Cork,MID
Jack Simpson,Jack Simpson,DEF
Jack Stephens,Jack Stephens,DEF
Jack Wilshere,Jack Wilshere,MID
Jacob Murphy,Jacob Murphy,MID
Jairo Riedewald,Jairo Riedewald,DEF
Jamaal Lascelles,Jamaal Lascelles,DEF
James Maddison,James Maddison,MID
James McArthur,James McArthur,MID
James McCarthy,James McCarthy,MID
James Milner,James Milner,MID
James Tarkowski,James Tarkowski,DEF
James Tomkins,James Tomkins,DEF
James Ward-Prowse,James Ward-Prowse,MID
Jamie Vardy,Jamie Vardy,FWD
Jannik Vestergaard,Jannik Vestergaard,DEF
Jan Bednarek,Jan Bednarek,DEF
Jan Vertonghen,Jan Vertonghen,DEF
Jaroslaw Jach,Jaroslaw Jach,DEF
Jason Puncheon,Jason Puncheon,MID
Jason Steele,Jason Steele,GKP
Javier Hern√°ndez Balc√°zar,Javier Hernández Balcázar,FWD
Javier Manquillo,Javier Manquillo,DEF
Jean Michael Seri,Jean Michael Seri,MID
Jefferson Lerma,Jefferson Lerma,MID
Jeffrey Schlupp,Jeffrey Schlupp,DEF
Jeff Hendrick,Jeff Hendrick,MID
Jermain Defoe,Jermain Defoe,FWD
Jerome Sinclair,Jerome Sinclair,FWD
Jesse Lingard,Jesse Lingard,MID
Joel Matip,Joel Matip,DEF
Joel Ward,Joel Ward,DEF
Joe Bennett,Joe Bennett,DEF
Joe Bryan,Joe Bryan,DEF
Joe Hart,Joe Hart,GKP
Joe Ralls,Joe Ralls,MID
Johann Berg Gudmundsson,Johann Berg Gudmundsson,MID
John Ruddy,John Ruddy,GKP
John Stones,John Stones,DEF
Jon Gorenc Stankovic,Jon Gorenc Stankovic,DEF
Jonas L√∂ssl,Jonas Lössl,GKP
Jonathan Castro Otto,Jonathan Castro Otto,DEF
Jonathan Hogg,Jonathan Hogg,MID
Jonathan Walters,Jonathan Walters,FWD
Jonjoe Kenny,Jonjoe Kenny,DEF
Jonjo Shelvey,Jonjo Shelvey,MID
Jonny Evans,Jonny Evans,DEF
Jordan Ayew,Jordan Ayew,FWD
Jordan Henderson,Jordan Henderson,MID
Jordan Hugill,Jordan Hugill,FWD
Jordan Pickford,Jordan Pickford,GKP
Jordon Ibe,Jordon Ibe,MID
Jorge Luiz Frello Filho,Jorge Luiz Frello Filho,MID
Jose Luis Mato Sanmart√≠n,Jose Luis Mato Sanmartín,FWD
Joseph Gomez,Joseph Gomez,DEF
Joshua King,Joshua King,FWD
Joshua Sims,Joshua Sims,MID
Josh Murphy,Josh Murphy,MID
Jos√© Diogo Dalot Teixeira,José Diogo Dalot Teixeira,DEF
Jos√© Heriberto Izquierdo Mena,José Heriberto Izquierdo Mena,MID
Jos√© Holebas,José Holebas,DEF
Jo√£o Filipe Iria Santos Moutinho,João Filipe Iria Santos Moutinho,MID
Juan Mata,Juan Mata,MID
Julian Speroni,Julian Speroni,GKP
Juninho Bacuna,Juninho Bacuna,MID
Junior Stanislas,Junior Stanislas,MID
J√ºrgen Locadia,Jürgen Locadia,FWD
Karl Darlow,Karl Darlow,GKP
Kasper Schmeichel,Kasper Schmeichel,GKP
Kelechi Iheanacho,Kelechi Iheanacho,FWD
Kenneth Zohore,Kenneth Zohore,FWD
Ken Sema,Ken Sema,MID
Kepa Arrizabalaga,Kepa Arrizabalaga,GKP
Kevin De Bruyne,Kevin De Bruyne,MID
Kevin Long,Kevin Long,DEF
Kevin McDonald,Kevin McDonald,MID
Kevin Mirallas,Kevin Mirallas,MID
